epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,4009.7,0.59369,0.3223,0.87461,0.96092,0.94713,0.97434,0.75881,0.86247,0.4055,0.91143,0.000198063,0.000198063,0.000198063
71,4065.46,0.58665,0.3163,0.86983,0.97331,0.9471,0.97261,0.76337,0.86321,0.41058,0.90771,0.000191875,0.000191875,0.000191875
72,4122.8,0.58303,0.3169,0.86756,0.96783,0.94052,0.97052,0.76405,0.85975,0.41443,0.91121,0.000185688,0.000185688,0.000185688
73,4177.59,0.57926,0.31375,0.86669,0.97353,0.94362,0.97253,0.76033,0.85932,0.40948,0.91095,0.0001795,0.0001795,0.0001795
74,4233.26,0.57089,0.31158,0.86867,0.96913,0.94327,0.97763,0.76616,0.87005,0.40653,0.91161,0.000173313,0.000173313,0.000173313
75,4289.17,0.56764,0.30869,0.8658,0.97168,0.94683,0.97451,0.76485,0.86752,0.40853,0.9079,0.000167125,0.000167125,0.000167125
76,4345.43,0.56512,0.30944,0.86679,0.96978,0.94285,0.97481,0.75955,0.87267,0.40812,0.91164,0.000160938,0.000160938,0.000160938
77,4400.28,0.55489,0.30288,0.86248,0.97411,0.95247,0.97281,0.76687,0.86796,0.40776,0.9139,0.00015475,0.00015475,0.00015475
78,4456.12,0.55424,0.3031,0.85799,0.97607,0.93884,0.97635,0.76578,0.86815,0.4099,0.91546,0.000148563,0.000148563,0.000148563
79,4511.93,0.53889,0.29599,0.86038,0.97537,0.94052,0.97112,0.76202,0.87555,0.40736,0.91981,0.000142375,0.000142375,0.000142375
80,4569.16,0.54309,0.29709,0.85358,0.97365,0.94245,0.97638,0.76611,0.86175,0.40598,0.91185,0.000136187,0.000136187,0.000136187
81,4624.34,0.54725,0.29746,0.85844,0.97304,0.94799,0.97641,0.76616,0.86341,0.40626,0.91234,0.00013,0.00013,0.00013
82,4680.18,0.52643,0.28811,0.84885,0.9636,0.95019,0.97876,0.76644,0.86263,0.40411,0.91233,0.000123812,0.000123812,0.000123812
83,4736.3,0.52902,0.28975,0.84961,0.96987,0.93674,0.97549,0.76938,0.86471,0.40423,0.91195,0.000117625,0.000117625,0.000117625
84,4793.84,0.52346,0.28984,0.85399,0.97528,0.94575,0.98032,0.76884,0.86862,0.40231,0.91367,0.000111438,0.000111438,0.000111438
85,4848.48,0.51923,0.28674,0.85357,0.97605,0.93747,0.97794,0.77106,0.86219,0.39947,0.91231,0.00010525,0.00010525,0.00010525
86,4904.26,0.51576,0.28656,0.84666,0.96875,0.94967,0.9798,0.77007,0.85746,0.40705,0.91133,9.90625e-05,9.90625e-05,9.90625e-05
87,4960.35,0.50807,0.28265,0.84886,0.9736,0.94608,0.97863,0.7694,0.85868,0.4016,0.91056,9.2875e-05,9.2875e-05,9.2875e-05
88,5016.16,0.50047,0.27652,0.84445,0.96871,0.94494,0.97779,0.7679,0.86077,0.40519,0.91327,8.66875e-05,8.66875e-05,8.66875e-05
89,5071.31,0.50819,0.28073,0.84554,0.96719,0.94636,0.97835,0.76717,0.86391,0.40439,0.91267,8.05e-05,8.05e-05,8.05e-05
90,5127.15,0.50226,0.2784,0.84678,0.96819,0.94155,0.97698,0.76871,0.86256,0.40177,0.90996,7.43125e-05,7.43125e-05,7.43125e-05
91,5194.42,0.46902,0.25723,0.82465,0.96274,0.93888,0.97536,0.76761,0.86891,0.40316,0.91291,6.8125e-05,6.8125e-05,6.8125e-05
92,5256.52,0.46037,0.25244,0.82436,0.95718,0.9445,0.97417,0.76362,0.86391,0.40631,0.91292,6.19375e-05,6.19375e-05,6.19375e-05
93,5311.65,0.44739,0.24836,0.82004,0.96661,0.94816,0.97628,0.77158,0.86347,0.41008,0.91214,5.575e-05,5.575e-05,5.575e-05
94,5367.1,0.44328,0.24506,0.81407,0.96668,0.94439,0.97777,0.77251,0.85874,0.40588,0.91176,4.95625e-05,4.95625e-05,4.95625e-05
95,5423.98,0.43581,0.24493,0.81531,0.97179,0.94055,0.97744,0.77519,0.86037,0.40367,0.91168,4.3375e-05,4.3375e-05,4.3375e-05
96,5479.84,0.43143,0.24159,0.81459,0.96712,0.94449,0.97724,0.77275,0.86324,0.39912,0.91209,3.71875e-05,3.71875e-05,3.71875e-05
97,5534.93,0.42818,0.23976,0.81447,0.95841,0.96527,0.97949,0.77771,0.85565,0.39994,0.91297,3.1e-05,3.1e-05,3.1e-05
98,5590.5,0.42894,0.2396,0.81291,0.96691,0.95818,0.97918,0.77754,0.85968,0.39777,0.91436,2.48125e-05,2.48125e-05,2.48125e-05
99,5644.86,0.42335,0.23957,0.81091,0.9654,0.96205,0.98035,0.77796,0.8542,0.3947,0.91314,1.8625e-05,1.8625e-05,1.8625e-05
100,5700.93,0.42246,0.23759,0.80845,0.96199,0.96634,0.9806,0.77807,0.85774,0.39317,0.91487,1.24375e-05,1.24375e-05,1.24375e-05
