                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.82018,                0.52087,                0.90855,                 0.9439,                0.89155,                0.95064,                0.71584,                0.92015,                0.54176,                0.86481,             0.00034656,             0.00034656,             0.00034656
                     47,                0.80513,                0.51113,                0.90353,                0.94525,                0.91707,                0.95257,                0.71086,                0.91852,                0.54583,                0.86568,             0.00034038,             0.00034038,             0.00034038
                     48,                 0.8033,                0.50582,                0.90903,                0.93541,                0.90289,                0.95049,                0.72124,                0.90691,                0.54382,                0.86264,             0.00033419,             0.00033419,             0.00033419
                     49,                0.80444,                0.50805,                0.89991,                0.94814,                0.88832,                0.95118,                0.71398,                0.92413,                0.54454,                0.86561,               0.000328,               0.000328,               0.000328
                     50,                0.79602,                0.50437,                0.90147,                0.94295,                0.88997,                 0.9495,                0.71938,                0.90512,                0.55309,                0.86262,             0.00032181,             0.00032181,             0.00032181
                     51,                0.79162,                0.50896,                0.90152,                0.93768,                0.90675,                0.95286,                0.71701,                 0.9131,                0.52529,                0.86421,             0.00031562,             0.00031562,             0.00031562
                     52,                0.78051,                0.49483,                0.89726,                0.95629,                 0.8872,                0.95077,                 0.7167,                0.90881,                 0.5275,                0.86174,             0.00030944,             0.00030944,             0.00030944
                     53,                0.77721,                0.49254,                0.89515,                0.94749,                0.89885,                0.95246,                0.72331,                0.90415,                0.52858,                   0.86,             0.00030325,             0.00030325,             0.00030325
                     54,                0.77638,                0.49517,                0.89636,                0.95092,                0.91065,                0.95393,                0.73073,                0.90097,                0.52178,                0.86018,             0.00029706,             0.00029706,             0.00029706
                     55,                0.77106,                0.48817,                0.89437,                0.96061,                0.89155,                0.95142,                0.72116,                0.90169,                0.52081,                0.86324,             0.00029088,             0.00029088,             0.00029088
                     56,                0.77785,                0.48723,                0.89458,                0.94428,                0.90663,                0.95099,                0.71686,                0.91919,                0.52728,                0.86203,             0.00028469,             0.00028469,             0.00028469
                     57,                0.76138,                0.48629,                0.89108,                0.93857,                0.91431,                0.95305,                0.71624,                 0.9097,                0.52496,                 0.8639,              0.0002785,              0.0002785,              0.0002785
                     58,                0.76756,                0.47677,                0.89509,                0.95626,                0.91369,                0.95713,                0.72707,                 0.9056,                0.51357,                0.85879,             0.00027231,             0.00027231,             0.00027231
                     59,                0.76496,                0.47683,                 0.8903,                0.95368,                0.90085,                0.95335,                0.73329,                0.90325,                0.51939,                0.85821,             0.00026613,             0.00026613,             0.00026613
                     60,                0.75643,                0.47914,                  0.893,                0.94087,                0.90832,                0.95177,                0.72737,                0.88731,                0.51302,                0.85932,             0.00025994,             0.00025994,             0.00025994
                     61,                0.74873,                0.46918,                0.88734,                0.95031,                0.90739,                0.95239,                0.72943,                0.89658,                0.51468,                 0.8563,             0.00025375,             0.00025375,             0.00025375
                     62,                0.76043,                0.47298,                0.89014,                0.93021,                0.91232,                0.95432,                 0.7205,                0.91571,                0.51934,                0.86458,             0.00024756,             0.00024756,             0.00024756
                     63,                0.74205,                0.46535,                0.88422,                0.93849,                0.91619,                0.95546,                0.72669,                0.89079,                  0.514,                0.85875,             0.00024137,             0.00024137,             0.00024137
